id,productName,packageName,visible,track_inventory,stock_inventory,timestamp
7,Beef Back Ribs,3.00 - 3.80 lbs,false,true,0,2025-02-18T00:05:28.075Z
35,Top Sirloin Steak,1.30 - 1.60 lbs,true,true,0,2025-02-18T00:05:28.094Z
30,"Skirt Steak, Large","Large, .80 - 1.40 lbs",false,true,0,2025-02-18T00:05:28.104Z
22,New York Steak,0.50 - 0.90 lbs,true,true,0,2025-02-18T00:05:28.273Z
26,Korean Style Beef Ribs,1.20 - 1.40 lbs,true,false,0,2025-02-18T00:05:28.386Z
25,Ribeye Steak,0.80 - 1.10 lbs,true,true,0,2025-02-18T00:05:28.459Z
116,Thai Curry Sausage Links,4 links/ pack 14 oz pack,true,true,12,2025-02-18T00:05:29.184Z
67,"Lamb Chops, 2 pack","2 pack, 0.70 - 1.10 lbs",false,true,0,2025-02-18T00:05:29.242Z
48,Pork Tenderloin,0.80 - 1.30 lbs,true,false,8,2025-02-18T00:05:29.308Z
15,Beef Flat Iron Steak,0.70 - 1.10 lbs,true,true,3,2025-02-18T00:05:29.638Z
20,Beef Kidney,0.80 - 1.00 lbs,true,true,10,2025-02-18T00:05:29.686Z
9,Beef Marrow Bones,3.00 - 5.00 lbs,false,false,0,2025-02-18T00:05:29.782Z
23,Beef Oxtail,1.40 - 1.90 lbs,false,true,0,2025-02-18T00:05:30.324Z
36,Beef Tri-Tip,1.90 - 2.20 lbs,false,true,0,2025-02-18T00:05:30.411Z
12,"Brisket, Large","Large, 4.30 - 4.90 lbs",true,false,4,2025-02-18T00:05:30.913Z
14,Flank Steak,1.10 - 1.40 lbs,false,true,0,2025-02-18T00:05:30.916Z
10,"Brisket, Small","Small, 2.30 - 2.99 lbs",true,false,6,2025-02-18T00:05:30.972Z
24,Hamburger Patties,1.00 lbs,false,true,0,2025-02-18T00:05:31.000Z
18,Hanger Steak,0.40 - 0.50 lbs,false,true,2,2025-02-18T00:05:31.271Z
9,Beef Marrow Bones,3.00 - 5.00 lbs,false,false,0,2025-02-18T02:33:53.209Z
35,Top Sirloin Steak,1.30 - 1.60 lbs,true,false,0,2025-02-18T03:01:11.247Z
22,New York Steak,0.50 - 0.90 lbs,true,false,0,2025-02-18T03:01:11.288Z
12,"Brisket, Large","Large, 4.30 - 4.90 lbs",true,true,4,2025-02-18T03:01:11.324Z
25,Ribeye Steak,0.80 - 1.10 lbs,true,false,0,2025-02-18T03:01:11.340Z
10,"Brisket, Small","Small, 2.30 - 2.99 lbs",true,true,6,2025-02-18T03:01:11.349Z
48,Pork Tenderloin,0.80 - 1.30 lbs,true,true,8,2025-02-18T03:01:11.359Z
7,Beef Back Ribs,3.00 - 3.80 lbs,false,true,0,2025-02-18T14:42:54.765Z
9,Beef Marrow Bones,3.00 - 5.00 lbs,true,true,8,2025-02-21T01:24:38.772Z
20,Beef Kidney,0.80 - 1.00 lbs,false,true,10,2025-02-21T01:24:38.837Z
15,Beef Flat Iron Steak,0.70 - 1.10 lbs,false,true,3,2025-02-21T01:24:38.844Z
19,Beef Heart,2.50 - 3.5 lbs,true,true,4,2025-02-21T01:24:38.893Z
27,Beef Short Rib,1.30 - 2.10 lbs,true,true,5,2025-02-21T01:24:39.107Z
31,Beef Stew Meat,0.90 - 1.10 lbs,true,false,20,2025-02-21T01:24:39.130Z
12,"Brisket, Large","Large, 4.30 - 4.90 lbs",true,true,8,2025-02-21T01:24:40.001Z
36,Beef Tri-Tip,1.90 - 2.20 lbs,true,true,1,2025-02-21T01:24:40.070Z
34,Beef Tongue,2.50 - 3.00 lbs,true,false,0,2025-02-21T01:24:40.082Z
11,"Brisket, Medium","Medium, 3.00 - 3.90 lbs",true,false,0,2025-02-21T01:24:40.127Z
10,"Brisket, Small","Small, 2.30 - 2.99 lbs",true,true,12,2025-02-21T01:24:40.553Z
13,Chuck roast,2.30 - 2.90 lbs,false,false,0,2025-02-21T01:24:41.283Z
33,Teres Major Steak,0.40 - 0.70 lbs,false,true,4,2025-02-21T01:24:41.354Z
25,Ribeye Steak,0.80 - 1.10 lbs,true,true,17,2025-02-21T01:24:41.380Z
109,Blueberry Maple Sausage Links,4 links/ pack 14 oz pack,true,false,8,2025-02-21T01:24:41.498Z
17,Organic Ground Beef,1 lbs,true,false,0,2025-02-21T01:24:41.548Z
22,New York Steak,0.50 - 0.90 lbs,true,true,12,2025-02-21T01:24:41.742Z
35,Top Sirloin Steak,1.30 - 1.60 lbs,true,true,3,2025-02-21T01:24:42.523Z
116,Thai Curry Sausage Links,4 links/ pack 14 oz pack,true,true,5,2025-02-21T01:24:42.550Z
70,Lamb Kabob,0.90 - 1.10 lbs,true,true,8,2025-02-21T01:24:42.652Z
76,Lamb Stew,0.90 - 1.10 lbs,true,true,4,2025-02-21T01:24:42.725Z
48,Pork Tenderloin,0.80 - 1.30 lbs,true,true,5,2025-02-21T01:24:42.820Z
15,Beef Flat Iron Steak,0.70 - 1.10 lbs,false,true,3,2025-02-21T01:24:43.262Z
20,Beef Kidney,0.80 - 1.00 lbs,false,true,10,2025-02-21T01:24:43.602Z
9,Beef Marrow Bones,3.00 - 5.00 lbs,true,true,8,2025-02-21T01:24:43.607Z
19,Beef Heart,2.50 - 3.5 lbs,true,true,4,2025-02-21T01:24:43.609Z
31,Beef Stew Meat,0.90 - 1.10 lbs,true,false,20,2025-02-21T01:24:43.995Z
27,Beef Short Rib,1.30 - 2.10 lbs,true,true,5,2025-02-21T01:24:44.325Z
34,Beef Tongue,2.50 - 3.00 lbs,true,false,0,2025-02-21T01:24:44.614Z
12,"Brisket, Large","Large, 4.30 - 4.90 lbs",true,true,8,2025-02-21T01:24:44.836Z
11,"Brisket, Medium","Medium, 3.00 - 3.90 lbs",true,false,0,2025-02-21T01:24:44.921Z
36,Beef Tri-Tip,1.90 - 2.20 lbs,true,true,1,2025-02-21T01:24:44.946Z
10,"Brisket, Small","Small, 2.30 - 2.99 lbs",true,true,12,2025-02-21T01:24:45.578Z
17,Organic Ground Beef,1 lbs,true,false,0,2025-02-21T01:24:45.791Z
13,Chuck roast,2.30 - 2.90 lbs,false,false,0,2025-02-21T01:24:45.868Z
22,New York Steak,0.50 - 0.90 lbs,true,true,12,2025-02-21T01:24:46.158Z
25,Ribeye Steak,0.80 - 1.10 lbs,true,true,17,2025-02-21T01:24:46.210Z
33,Teres Major Steak,0.40 - 0.70 lbs,false,true,4,2025-02-21T01:24:46.408Z
35,Top Sirloin Steak,1.30 - 1.60 lbs,true,true,3,2025-02-21T01:24:46.553Z
109,Blueberry Maple Sausage Links,4 links/ pack 14 oz pack,true,false,8,2025-02-21T01:24:46.847Z
116,Thai Curry Sausage Links,4 links/ pack 14 oz pack,true,true,5,2025-02-21T01:24:47.063Z
